60,"S01{1.386082, 0, -0.800255}"
60,"H02{0.258366, 0, -0.149168}"
60,"H13{2.271543, 0, -0.613525}"
60,"H23{2.548351, 0, 0.26982}"
60,"H24{3.209378, 0, 0.390765}"
60,"H35{3.217062, 0, 2.403798}"
60,"H45{3.744031, 0, 2.730454}"
61,"P0{0, 0, 0}"
61,"P1{-0.1453, 0, -1.1232}"
61,"S01{1.399838, 0, -0.775943}"
61,"H02{0.26093, 0, -0.144636}"
61,"H13{2.264589, 0, -0.581597}"
61,"H23{2.546018, 0, 0.300287}"
61,"H24{3.205631, 0, 0.428718}"
61,"H35{3.225891, 0, 2.430735}"
61,"H45{3.746847, 0, 2.766898}"
62,"P0{0, 0, 0}"
62,"P1{-0.1453, 0, -1.1232}"
62,"S01{1.413166, 0, -0.751394}"
62,"H02{0.263414, 0, -0.14006}"
62,"H13{2.257273, 0, -0.550014}"
62,"H23{2.54339, 0, 0.33036}"
62,"H24{3.201527, 0, 0.466151}"
62,"H35{3.234589, 0, 2.45716}"
62,"H45{3.749304, 0, 2.802802}"
63,"P0{0, 0, 0}"
63,"P1{-0.1453, 0, -1.1232}"
63,"S01{1.426065, 0, -0.726616}"
63,"H02{0.265818, 0, -0.135441}"
63,"H13{2.249604, 0, -0.51877}"
63,"H23{2.540479, 0, 0.360043}"
63,"H24{3.197082, 0, 0.503069}"
63,"H35{3.243172, 0, 2.483074}"
63,"H45{3.751407, 0, 2.838176}"
64,"P0{0, 0, 0}"
64,"P1{-0.1453, 0, -1.1232}"
64,"S01{1.438529, 0, -0.701617}"
64,"H02{0.268142, 0, -0.130781}"
64,"H13{2.24159, 0, -0.487859}"
64,"H23{2.537295, 0, 0.38934}"
64,"H24{3.192309, 0, 0.539478}"
64,"H35{3.251659, 0, 2.508473}"
64,"H45{3.753157, 0, 2.873027}"
65,"P0{0, 0, 0}"
65,"P1{-0.1453, 0, -1.1232}"
65,"S01{1.450555, 0, -0.676405}"
65,"H02{0.270383, 0, -0.126082}"
65,"H13{2.233238, 0, -0.457275}"
65,"H23{2.53385, 0, 0.418255}"
65,"H24{3.187222, 0, 0.575383}"
65,"H35{3.260066, 0, 2.533355}"
65,"H45{3.754553, 0, 2.907364}"
66,"P0{0, 0, 0}"
66,"P1{-0.1453, 0, -1.1232}"
66,"S01{1.462139, 0, -0.650986}"
66,"H02{0.272543, 0, -0.121344}"
66,"H13{2.224557, 0, -0.427012}"
66,"H23{2.530154, 0, 0.446791}"
66,"H24{3.181835, 0, 0.610788}"
66,"H35{3.268412, 0, 2.557718}"
66,"H45{3.755591, 0, 2.941197}"
67,"P0{0, 0, 0}"
67,"P1{-0.1453, 0, -1.1232}"
67,"S01{1.473277, 0, -0.625369}"
67,"H02{0.274619, 0, -0.116569}"
67,"H13{2.215553, 0, -0.397065}"
67,"H23{2.526216, 0, 0.474949}"
67,"H24{3.176162, 0, 0.645697}"
67,"H35{3.276713, 0, 2.581556}"
67,"H45{3.756264, 0, 2.974534}"
68,"P0{0, 0, 0}"
68,"P1{-0.1453, 0, -1.1232}"
68,"S01{1.483967, 0, -0.599562}"
68,"H02{0.276611, 0, -0.111758}"
68,"H13{2.206233, 0, -0.367429}"
68,"H23{2.522048, 0, 0.502733}"
68,"H24{3.170215, 0, 0.680112}"
68,"H35{3.28499, 0, 2.604865}"
68,"H45{3.756558, 0, 3.007386}"
69,"P0{0, 0, 0}"
69,"P1{-0.1453, 0, -1.1232}"
69,"S01{1.494205, 0, -0.573571}"
69,"H02{0.27852, 0, -0.106914}"
69,"H13{2.196604, 0, -0.338099}"
69,"H23{2.517658, 0, 0.530144}"
69,"H24{3.164008, 0, 0.714037}"
69,"H35{3.293259, 0, 2.627638}"
69,"H45{3.756457, 0, 3.039763}"
70,"P0{0, 0, 0}"
70,"P1{-0.1453, 0, -1.1232}"
70,"S01{1.503987, 0, -0.547407}"
70,"H02{0.280343, 0, -0.102037}"
70,"H13{2.186672, 0, -0.30907}"
70,"H23{2.513058, 0, 0.557182}"
70,"H24{3.157553, 0, 0.747472}"
70,"H35{3.301539, 0, 2.649868}"
70,"H45{3.755935, 0, 3.071679}"
71,"P0{0, 0, 0}"
71,"P1{-0.1453, 0, -1.1232}"
71,"S01{1.513312, 0, -0.521075}"
71,"H02{0.282081, 0, -0.097128}"
71,"H13{2.176442, 0, -0.280339}"
71,"H23{2.508256, 0, 0.583848}"
71,"H24{3.150864, 0, 0.780418}"
71,"H35{3.309851, 0, 2.671546}"
71,"H45{3.754958, 0, 3.103147}"
72,"P0{0, 0, 0}"
72,"P1{-0.1453, 0, -1.1232}"
72,"S01{1.522175, 0, -0.494585}"
72,"H02{0.283733, 0, -0.092191}"
72,"H13{2.16592, 0, -0.251902}"
